,Spring 2014 Game Schedule,,,,,,,,Mound,Base,,,
,,,,,,,,SS/SRS/8U,35,55,,,
,,Version 4 - 2/24/14,,,,,,12US,46,60,,,
,,,,,,,,14US,46,65,,,
Notes:,Bold time slots are slots with a head coach having more than one team,,,,,,,19US,50,65,,,
,"60 teams, white slot(s) = mixed age groups",,,,,,,19US,50,65,,,
,,,,,,,,10UF,35,60,,"SS, 8U, 10U works out perfect",
Sat 3/8,Field 1,Field 2,Field 3,Field 4,Field 5,Bases,,12UF,40,60,,keep 40 and 43 fast pitch separate,
,8:15,8:30,8:30,8:30,8:30,,,,,,,,
,19US5 vs 19US2,,,15F2 vs 15F4,,0,,,,,,,
,,,,,,,,,,,,,
Sat 4/19,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,SS1 vs SS4,SS5 vs SS2,10UF4 vs 10UF6,SRS5 vs SRS2,8U9 vs 8U3,,,,,,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,SRS1 vs SRS4,14UF1 vs 14UF2,10UF2 vs 10UF1,8U8 vs 8U2,8U10 vs 8U6,1,,,,,,,
,11:00,11:15,11:30,11:00,11:00,,,,,,,,
,12UF5 vs 12UF2,15F5 vs 15F1,10UF3 vs 10UF7,12US1 vs 12US2,8U12 vs 8U1,2,,,,,,,
,12:15,12:30,12:45,12:00,12:00,,,,,,,,
,12UF7 vs 12UF4,15F3 vs 15F2,10UF5 vs 10UF9,14US2 vs 14US1,8U4 vs 8U5,1,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,12UF3 vs 12UF1,15F6 vs 15F4,10UF10 vs 10UF8,14US4 vs 14US3,8U11 vs 8U7,,,,,,,,
,,,,,,,,,,,,,
Mon 4/21,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS4 vs SS3,SRS3 vs SRS4,8U11 vs 8U1,8U9 vs 8U2,10UF3 vs 10UF1,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,,19US1 vs 19US2,14UF1 vs 14UF3,14US4 vs 14US2,10UF8 vs 10UF7,3,,,,,,,
,8:15,8:15,8:30,8:15,8:45,,,,,,,,
,,19US3 vs 19US4,15F3 vs 15F6,,,0,,,,,,,
,,,,,,,,,,,,,
Tue 4/22,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS2 vs SS5,SRS3 vs SRS5,8U8 vs 8U10,8U12 vs 8U4,10UF6 vs 10UF5,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,19US1 vs 19US4,12UF5 vs 12UF4,12US2 vs 12US3,12UF3 vs 12UF2,10UF10 vs 10UF9,4,,,,,,,
,8:15,8:30,8:15,8:30,8:45,,,,,,,,
,19US3 vs 19US5,14UF2 vs 14UF3,14US3 vs 14US1,15F2 vs 15F5,,1,,,,,,,
,,,,,,,,,,,,,
Thu 4/24,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS3 vs SS5,SRS1 vs SRS2,8U3 vs 8U7,8U6 vs 8U5,10UF2 vs 10UF4,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,,,12UF7 vs 12UF6,12UF5 vs 12UF1,15F1 vs 15F4,2,,,,,,,
,8:15,8:15,8:30,8:30,8:45,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sat 4/26,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,SS1 vs SS3,SS2 vs SS4,10UF1 vs 10UF4,SRS1 vs SRS3,8U5 vs 8U12,,,,,,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,SRS2 vs SRS4,14UF3 vs 14UF1,10UF3 vs 10UF2,8U2 vs 8U1,8U9 vs 8U6,1,,,,,,,
,11:00,11:15,11:30,11:00,11:00,,,,,,,,
,12UF4 vs 12UF2,15F1 vs 15F2,10UF8 vs 10UF5,12US3 vs 12US1,8U4 vs 8U3,2,,,,,,,
,12:15,12:30,12:45,12:00,12:00,,,,,,,,
,12UF7 vs 12UF3,15F3 vs 15F4,10UF10 vs 10UF6,14US4 vs 14US1,8U11 vs 8U10,1,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,12UF6 vs 12UF1,15F5 vs 15F6,10UF9 vs 10UF7,14US3 vs 14US2,8U8 vs 8U7,,,,,,,,
,,,,,,,,,,,,,
Mon 4/28,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS1 vs SS2,8U3 vs 8U1,8U4 vs 8U2,10UF4 vs 10UF1,SS3 vs SS4,,,,,,,,
,7:15,7:15,7:15,7:30,7:15,,,,,,,,
,15F1 vs 15F6,12US3 vs 12US2,19US2 vs 19US1,10UF9 vs 10UF8,10UF6 vs 10UF2,3,,,,,,,
,8:30,8:15,8:15,8:45,8:30,,,,,,,,
,15F6 vs 15F2,,19US4 vs 19US3,,14UF3 vs 14UF2,,,,,,,,
,,,,,,,,,,,,,
Tue 4/29,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SRS1 vs SRS5,8U7 vs 8U5,8U8 vs 8U6,12US2 vs 12US1,10UF5 vs 10UF1,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,,14UF2 vs 14UF1,14US3 vs 14US4,14US1 vs 14US2,10UF7 vs 10UF3,3,,,,,,,
,8:15,8:30,8:15,8:15,8:45,,,,,,,,
,,,19US2 vs 19US5,,,1,,,,,,,
,,,,,,,,,,,,,
Thu 5/1,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS1 vs SS5,SRS2 vs SRS5,8U10 vs 8U9,8U12 vs 8U11,10UF10 vs 10UF4,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,,,19US4 vs 19US2,15F4 vs 15F5,15F2 vs 15F3,2,,,,,,,
,8:15,8:15,8:30,8:30,8:45,,,,,,,,
,,,19US5 vs 19US1,,,0,,,,,,,
